DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,2,191,6,0,0,0,0,0,Sun
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Road_S53,in,1219,32,70,35,5,2,0,150,Sun
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,68,13,0,0,0,0,0,Sun
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,85,5,0,0,0,0,0,Sun
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,153,2,0,0,0,0,0,Sun
2021-05-23T00:00:00Z,2021-05-23T01:00:00Z,LBS15_ButterHill_Road_S53,out,1226,17,69,21,3,0,0,96,Sun
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,3,160,7,1,0,0,0,0,Mon
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,7,77,6,0,0,0,0,0,Mon
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,1,356,9,1,0,1,0,1,Mon
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Road_S53,in,2069,41,63,35,2,6,0,414,Mon
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,180,17,1,0,0,0,0,Mon
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,130,0,0,0,0,0,0,Mon
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,281,6,0,0,0,0,0,Mon
2021-05-24T00:00:00Z,2021-05-24T01:00:00Z,LBS15_ButterHill_Road_S53,out,1829,18,66,33,14,6,1,289,Mon
2021-05-25T00:00:00Z,2021-05-25T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,2,210,7,0,0,0,0,1,Tue
