UTC Time,Local Time (Sensor),countlineId,countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,cars
05/10/2021 00:00,05/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,22,21,2,1,0,0,0,13,,
06/10/2021 00:00,06/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,43,15,1,2,0,0,1,5,,in
06/10/2021 00:00,06/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,32,11,3,4,0,0,0,8,,
07/10/2021 00:00,07/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,25,9,0,1,0,0,0,4,,out
07/10/2021 00:00,07/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,12,1,2,0,0,0,2,,
08/10/2021 00:00,08/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,31,18,3,2,0,1,0,11,,in
08/10/2021 00:00,08/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,21,16,3,4,0,2,0,8,,
09/10/2021 00:00,09/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,6,3,0,1,0,0,0,0,,in
09/10/2021 00:00,09/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,2,2,0,0,0,0,0,1,,
10/10/2021 00:00,10/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,32,21,2,1,0,0,0,8,,in
10/10/2021 00:00,10/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,21,2,2,0,0,0,26,,
11/10/2021 00:00,11/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,25,24,3,2,0,2,0,8,,out
11/10/2021 00:00,11/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,27,21,4,1,0,2,0,12,,
12/10/2021 00:00,12/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,34,11,2,2,0,0,0,5,,in
12/10/2021 00:00,12/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,29,21,0,1,0,1,0,8,,
13/10/2021 00:00,13/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,27,10,3,1,0,0,0,4,,in
13/10/2021 00:00,13/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,21,20,2,1,0,0,0,6,,
14/10/2021 00:00,14/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,35,21,1,1,0,0,0,7,,in
14/10/2021 00:00,14/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,22,20,4,1,0,0,0,9,,
15/10/2021 00:00,15/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,34,18,0,6,0,0,0,5,,in
15/10/2021 00:00,15/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,27,21,1,4,0,0,0,10,,
16/10/2021 00:00,16/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,33,18,1,4,0,0,0,6,,out
16/10/2021 00:00,16/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,36,17,4,3,0,1,0,8,,
17/10/2021 00:00,17/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,41,21,0,1,0,0,0,4,,in
17/10/2021 00:00,17/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,27,22,1,1,0,0,0,5,,
18/10/2021 00:00,18/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,44,14,0,1,0,3,0,10,,in
18/10/2021 00:00,18/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,32,0,1,0,1,0,10,,
19/10/2021 00:00,19/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,71,15,0,4,0,0,0,8,,in
19/10/2021 00:00,19/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,22,25,0,0,0,0,0,10,,
20/10/2021 00:00,20/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,54,15,0,1,0,2,0,3,,in
20/10/2021 00:00,20/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,23,1,1,0,0,1,9,,
21/10/2021 00:00,21/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,25,10,0,3,0,1,0,4,,in
21/10/2021 00:00,21/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,16,18,2,1,0,0,0,6,,
22/10/2021 00:00,22/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,144,17,2,2,0,1,0,10,,in
22/10/2021 00:00,22/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,23,28,0,1,0,0,1,8,,
23/10/2021 00:00,23/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,60,16,1,2,0,0,0,5,,in
23/10/2021 00:00,23/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,34,20,1,2,0,0,0,3,,
24/10/2021 00:00,24/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,66,20,1,0,0,3,0,6,,in
24/10/2021 00:00,24/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,27,0,3,0,1,0,3,,
25/10/2021 00:00,25/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,32,18,2,1,0,2,0,8,,in
25/10/2021 00:00,25/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,21,0,0,0,1,0,12,,
26/10/2021 00:00,26/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,32,10,1,1,0,0,0,5,,out
26/10/2021 00:00,26/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,32,12,1,1,0,0,0,6,,
27/10/2021 00:00,27/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,63,9,1,2,0,0,0,8,,in
27/10/2021 00:00,27/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,24,1,2,0,0,0,13,,
28/10/2021 00:00,28/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,27,22,1,1,0,0,0,2,,out
28/10/2021 00:00,28/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,24,1,1,0,0,0,6,,
29/10/2021 00:00,29/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,35,13,3,1,0,0,0,5,,in
29/10/2021 00:00,29/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,31,14,1,1,0,0,0,9,,
30/10/2021 00:00,30/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,67,18,7,2,0,0,0,6,,in
30/10/2021 00:00,30/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,32,10,0,2,0,0,0,3,,
31/10/2021 00:00,31/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,40,11,6,8,0,0,0,3,,in
31/10/2021 00:00,31/10/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,21,0,1,0,0,0,4,,
01/11/2021 00:00,01/11/2021 00:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,28,15,3,0,0,3,0,7,,in
01/11/2021 00:00,01/11/2021 00:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,22,2,1,0,1,0,13,,
02/11/2021 00:00,02/11/2021 00:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,27,13,1,1,0,0,0,6,,in
02/11/2021 00:00,02/11/2021 00:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,20,1,1,0,0,0,11,,
