UTC Time,Local Time (Sensor),countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,
22/10/2021 21:15,22/10/2021 22:15,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 21:15,22/10/2021 22:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 21:30,22/10/2021 22:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 21:30,22/10/2021 22:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 21:45,22/10/2021 22:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 21:45,22/10/2021 22:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 22:00,22/10/2021 23:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 22:00,22/10/2021 23:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 22:15,22/10/2021 23:15,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 22:15,22/10/2021 23:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 22:30,22/10/2021 23:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 22:30,22/10/2021 23:30,L16_ApeldoornDr_road_and_paths_s144,out,1,0,0,0,0,0,0,0,,
22/10/2021 22:45,22/10/2021 23:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 22:45,22/10/2021 23:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 23:00,23/10/2021 00:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 23:00,23/10/2021 00:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 23:15,23/10/2021 00:15,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 23:15,23/10/2021 00:15,L16_ApeldoornDr_road_and_paths_s144,out,0,2,0,0,0,0,0,0,,
22/10/2021 23:30,23/10/2021 00:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 23:30,23/10/2021 00:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 23:45,23/10/2021 00:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 23:45,23/10/2021 00:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,
,,Totals ,,167,45,2,3,0,1,1,18,,
